ring,hole,order,x,y
1,0,0,433672.2093,2288807.7748
1,0,1,434198.9546,2285221.3802
1,0,2,431741.6659,2286040.6029
1,0,3,432447.9988,2288780.3118
1,0,4,433672.2093,2288807.7748
2,0,0,441360.2736,2286786.9636
2,0,1,437762.6629,2286528.9
2,0,2,437291.0234,2288627.7104
2,0,3,439241.9787,2291125.3669
2,0,4,440952.35,2288796.5669
2,0,5,441360.2736,2286786.9636
3,0,0,462297.0589,2314949.5315
3,0,1,457834.6116,2307332.9945
3,0,2,454379.8095,2307887.5706
3,0,3,454537.1301,2309585.8836
3,0,4,453061.4818,2311419.7491
3,0,5,457480.921,2316640.3872
3,0,6,462297.0589,2314949.5315
4,0,0,442602.3764,2339204.0012
4,0,1,441640.733,2337210.2683
4,0,2,439068.0641,2339619.5641
4,0,3,441693.4118,2340624.7829
4,0,4,442602.3764,2339204.0012
5,0,0,449790.5599,2343888.1588
5,0,1,452485.3648,2343689.1217
5,0,2,453864.3509,2344554.7985
5,0,3,457021.4673,2343598.3949
5,0,4,461037.6792,2345438.1494
5,0,5,460166.3415,2342712.5834
5,0,6,458537.2524,2340274.6141
5,0,7,456144.762,2334100.7971
5,0,8,455035.7816,2332575.8786
5,0,9,451860.0582,2332116.0999
5,0,10,449369.2294,2337294.7569
5,0,11,447864.6096,2336997.5111
5,0,12,444400.5659,2337913.1808
5,0,13,440757.0295,2342401.89
5,0,14,443964.0288,2343219.5426
5,0,15,447453.2826,2345906.179
5,0,16,449790.5599,2343888.1588
6,0,0,512695.698,2506951.612
6,0,1,514325.8604,2503390.3282
6,0,2,514266.0144,2502445.2696
6,0,3,516171.2898,2501760.413
6,0,4,517361.301,2500221.8403
6,0,5,518585.3424,2500059.5589
6,0,6,519786.9864,2500707.301
6,0,7,522025.8882,2497979.181
6,0,8,522601.9557,2497818.9584
6,0,9,524969.3811,2497734.8496
6,0,10,527234.8564,2498813.5566
6,0,11,528503.4703,2498626.7956
6,0,12,530561.9651,2497498.6787
6,0,13,530668.6997,2496196.118
6,0,14,533084.2511,2494771.7257
6,0,15,532674.2226,2494003.7295
6,0,16,529675.8092,2493759.4284
6,0,17,528882.182,2491443.0688
6,0,18,527449.9862,2489147.8568
6,0,19,527916.9534,2487600.1974
6,0,20,528998.0199,2488143.9315
6,0,21,529629.4182,2489179.7926
6,0,22,532092.5079,2489753.2583
6,0,23,532493.8467,2490371.0021
6,0,24,533500.2384,2490381.352
6,0,25,534146.3447,2491053.2519
6,0,26,535491.2847,2489258.6091
6,0,27,537895.7633,2490324.802
6,0,28,541932.5289,2489926.0323
6,0,29,541827.1551,2488092.9571
6,0,30,541145.5387,2486811.9248
6,0,31,541535.078,2483763.3176
6,0,32,542331.2119,2482791.4755
6,0,33,542840.632,2482794.5412
6,0,34,542267.5671,2481157.8876
6,0,35,542912.721,2480401.5176
6,0,36,544246.329,2480546.8572
6,0,37,545375.3924,2482143.0358
6,0,38,547903.4972,2482116.6882
6,0,39,548905.2054,2484070.8448
6,0,40,548273.47,2484699.4905
6,0,41,547728.4379,2487478.0392
6,0,42,548921.3074,2488494.7657
6,0,43,549778.3908,2489075.0181
6,0,44,552989.0612,2486505.4936
6,0,45,553628.5651,2486429.8856
6,0,46,555467.9512,2489047.0892
6,0,47,555484.7001,2490420.9104
6,0,48,556493.9868,2490935.345
6,0,49,558463.7852,2493244.9077
6,0,50,560759.1482,2494323.2797
6,0,51,561852.5372,2494170.7829
6,0,52,562962.1053,2492459.5557
6,0,53,563098.3159,2491016.7023
6,0,54,563401.0559,2490998.9069
6,0,55,562870.8056,2489285.3184
6,0,56,563221.5847,2488347.4721
6,0,57,564638.0807,2489058.2873
6,0,58,566303.6257,2488559.0297
6,0,59,568546.2194,2489036.4482
6,0,60,569135.2575,2488400.894
6,0,61,569457.5235,2486689.8088
6,0,62,570605.1926,2486709.194
6,0,63,572696.088,2489239.4715
6,0,64,573581.3945,2491021.3255
6,0,65,573489.6942,2493078.7247
6,0,66,575019.9663,2496081.6205
6,0,67,579632.0477,2499304.6514
6,0,68,581179.9713,2501750.9373
6,0,69,582981.7625,2503034.0448
6,0,70,583207.7066,2503816.1906
6,0,71,582341.8851,2504894.3164
6,0,72,582752.7427,2506100.5724
6,0,73,583798.4281,2507255.9574
6,0,74,583823.8926,2508287.7708
6,0,75,585359.8797,2509750.7526
6,0,76,585978.3382,2509447.3454
6,0,77,585878.8101,2508623.7876
6,0,78,586312.8733,2508637.307
6,0,79,588314.8768,2506402.0594
6,0,80,588924.1709,2506471.2437
6,0,81,589173.1638,2504545.0532
6,0,82,588831.4272,2503742.2064
6,0,83,587564.8202,2503426.0298
6,0,84,587190.0283,2502471.0356
6,0,85,587792.3922,2501859.2814
6,0,86,587804.2933,2500446.9531
6,0,87,585003.1193,2500790.9454
6,0,88,583941.5524,2499745.3433
6,0,89,585651.1452,2498220.2004
6,0,90,587530.2812,2498014.604
6,0,91,588068.3407,2497156.7216
6,0,92,589060.162,2496708.9941
6,0,93,589533.6738,2497226.4255
6,0,94,591261.2934,2496565.2787
6,0,95,591988.0676,2496738.8904
6,0,96,592258.4755,2497830.8726
6,0,97,594934.254,2500210.7214
6,0,98,596037.1382,2502251.2128
6,0,99,598197.9317,2503338.3689
6,0,100,598713.6143,2502926.9674
6,0,101,600776.9464,2499560.865
6,0,102,602139.7709,2498534.964
6,0,103,602186.7167,2497414.1095
6,0,104,601694.1681,2496449.648
6,0,105,599854.4407,2495773.5286
6,0,106,599169.6924,2494047.7802
6,0,107,600573.0277,2490703.293
6,0,108,600569.9832,2489453.6985
6,0,109,603152.1575,2487246.0733
6,0,110,603915.5779,2485788.3943
6,0,111,605885.7353,2485125.5806
6,0,112,607456.6159,2483295.6589
6,0,113,608731.5277,2483209.3761
6,0,114,610389.0648,2480057.3409
6,0,115,615945.2646,2478522.0189
6,0,116,617122.5251,2479322.7117
6,0,117,619011.8478,2477944.4643
6,0,118,619455.1158,2476173.3536
6,0,119,618284.9546,2475193.3017
6,0,120,617334.571,2473440.9046
6,0,121,617953.3539,2472520.9245
6,0,122,617580.7275,2471085.0285
6,0,123,616213.0457,2471009.1851
6,0,124,616294.6115,2472218.885
6,0,125,615920.4836,2472382.3744
6,0,126,615076.7187,2470830.6646
6,0,127,614779.2626,2472280.2249
6,0,128,614114.6459,2472597.1597
6,0,129,613090.6034,2472201.9478
6,0,130,610869.0962,2472369.6897
6,0,131,609186.4622,2469475.206
6,0,132,609562.2834,2466351.862
6,0,133,608541.6583,2464550.4487
6,0,134,606223.5132,2462591.8673
6,0,135,604547.5173,2463249.8642
6,0,136,603647.2013,2463011.5835
6,0,137,603094.8393,2462274.0438
6,0,138,602981.0049,2460928.2083
6,0,139,606314.695,2459269.0527
6,0,140,606446.6884,2457233.7165
6,0,141,607867.5626,2456514.4582
6,0,142,607931.7632,2455054.8935
6,0,143,606841.241,2454404.6379
6,0,144,606367.0553,2452772.4692
6,0,145,606381.7855,2451970.6125
6,0,146,607838.8353,2449688.5119
6,0,147,607142.8963,2448484.3466
6,0,148,605498.3794,2447302.7046
6,0,149,606129.0811,2446071.8171
6,0,150,610044.4748,2447294.7488
6,0,151,612079.2872,2448733.0797
6,0,152,613472.6983,2448574.1632
6,0,153,613605.8417,2447408.04
6,0,154,615401.0076,2445979.1622
6,0,155,615633.6837,2444234.4445
6,0,156,617907.1664,2443637.1295
6,0,157,618798.7021,2444167.7235
6,0,158,620854.1421,2442481.5614
6,0,159,621755.0391,2440987.4987
6,0,160,625877.3922,2441053.8227
6,0,161,626638.8373,2439825.7125
6,0,162,625841.3813,2438613.7747
6,0,163,625121.3381,2438659.4075
6,0,164,625032.6671,2438011.1519
6,0,165,625887.8198,2434995.9794
6,0,166,630348.0993,2433516.7651
6,0,167,630945.3995,2433015.6386
6,0,168,630776.3274,2432037.1943
6,0,169,631308.9929,2431742.3557
6,0,170,633585.6454,2432080.743
6,0,171,635556.2109,2431091.354
6,0,172,637818.5318,2427782.9199
6,0,173,637967.8661,2424785.0528
6,0,174,638894.4046,2424255.7329
6,0,175,638515.5851,2423236.9376
6,0,176,638934.2758,2422817.8888
6,0,177,638772.0436,2421048.126
6,0,178,638226.9048,2420071.2944
6,0,179,640968.1715,2418540.0539
6,0,180,639023.0398,2416901.3918
6,0,181,639866.2194,2415338.736
6,0,182,638466.7725,2414085.6158
6,0,183,638550.757,2412915.767
6,0,184,638164.6912,2412454.7241
6,0,185,636871.9062,2411786.8187
6,0,186,636948.4091,2408101.0693
6,0,187,634415.6096,2405152.119
6,0,188,634864.6219,2404156.5087
6,0,189,634467.0645,2402192.028
6,0,190,634730.868,2401170.7234
6,0,191,630351.8759,2400383.1112
6,0,192,628759.8796,2401613.3843
6,0,193,627434.3379,2404240.5118
6,0,194,624189.0248,2405051.6004
6,0,195,623664.7874,2409388.5826
6,0,196,622269.1526,2411702.8958
6,0,197,619870.04,2411882.2866
6,0,198,615797.976,2411043.1566
6,0,199,610021.5533,2409025.1128
6,0,200,605529.5854,2409878.8378
6,0,201,605958.5676,2409221.6821
6,0,202,606974.8616,2409015.3619
6,0,203,609080.1406,2408570.0873
6,0,204,609015.1078,2408160.4893
6,0,205,606411.3358,2407436.3212
6,0,206,602532.3716,2405817.7642
6,0,207,598583.4255,2402276.1614
6,0,208,597159.2354,2401984.1812
6,0,209,595748.0916,2399449.2531
6,0,210,594322.9966,2399085.4706
