method,bins,factor,q_residual,n_complete
Quantile,5,slope,0.14687207418948411,30711
Quantile,5,DEM,0.3086434677520261,30711
Quantile,5,TEM,0.2922062828974953,30711
Quantile,8,slope,0.15833005948866197,30711
Quantile,8,DEM,0.3481727104356942,30711
Quantile,8,TEM,0.32838309770519436,30711
Quantile,10,slope,0.16278982444618917,30711
Quantile,10,DEM,0.3571716542571194,30711
Quantile,10,TEM,0.3384036544910012,30711
Equal interval,5,slope,0.15263718025722495,30711
Equal interval,5,DEM,0.29923297608272537,30711
Equal interval,5,TEM,0.3206215356253702,30711
Equal interval,8,slope,0.1585269096818157,30711
Equal interval,8,DEM,0.34877328878424796,30711
Equal interval,8,TEM,0.31870893305211456,30711
Equal interval,10,slope,0.16132844477930142,30711
Equal interval,10,DEM,0.3560514496110082,30711
Equal interval,10,TEM,0.3359989745208156,30711
Jenks,5,slope,0.15909592060973488,30711
Jenks,5,DEM,0.34946990310007475,30711
Jenks,5,TEM,0.32716002885059814,30711
Jenks,8,slope,0.164423228324433,30711
Jenks,8,DEM,0.361908059952905,30711
Jenks,8,TEM,0.3389457425646223,30711
Jenks,10,slope,0.16582954093143487,30711
Jenks,10,DEM,0.3652237703912118,30711
Jenks,10,TEM,0.343005240373754,30711
Standard deviation,5,slope,0.15096906266533294,30711
Standard deviation,5,DEM,0.34035709330932395,30711
Standard deviation,5,TEM,0.32542427880476865,30711
Standard deviation,8,slope,0.15622443494750815,30711
Standard deviation,8,DEM,0.35328873249353354,30711
Standard deviation,8,TEM,0.32217541141378014,30711
Standard deviation,10,slope,0.15627157159914895,30711
Standard deviation,10,DEM,0.3532936705485087,30711
Standard deviation,10,TEM,0.32217921387949233,30711
