factor,q_raw,q_residual
slope,0.5168662714585719,0.14687207418948411
DEM,0.4759880631910972,0.3086434677520261
TEM,0.4642553455663282,0.2922062828974953
soiltype,0.3815460641410303,0.25923557118269247
NDVI,0.31708489524520445,0.1499141864248683
NLI,0.23520866251523587,0.08219801113775649
POP,0.13252281619274375,0.08191945062877204
roads,0.11055226649927652,0.07586386097131981
GDP,0.08583690892671048,0.04719822281996522
railways,0.04463402614588374,0.030848156173969188
water,0.0402564818849257,0.025929427976396968
PRE,0.022317376947664225,0.014429657686903186
aspect,0.0026779781565292593,0.0005479962684109552
